dualMeetID,meetID,homeTeamID,awayTeamID,homeTeamPoints,awayTeamPoints
DH@SS,DH@SS2021,SS,DH,192.5,222.5
G@DH,G@DH2021,DH,G,247.0,173.0
DL@HM,DL@HM2021,HM,DL,165.0,255.0
FMW@SS,FMW@SS2021,SS,FMW,276.0,132.0
SS@G,SS@G2021,G,SS,223.0,196.0
DH@DL,DH@DL2021,DL,DH,218.0,202.0
HM@FMW,HM@FMW2021,FMW,HM,188.0,231.0
G@DL,G@DL2021,DL,G,245.0,170.0
FMW@DH,FMW@DH2021,DH,FMW,285.0,135.0
SS@HM,SS@HM2021,HM,SS,210.0,207.0
GF@MW,GF@MW2021,MW,GF,208.0,207.0
LHP@AF,LHP@AF2021,AF,LHP,151.0,269.0
SOR@FS,SOR@FS2021,FS,SOR,202.0,213.0
MW@SOR,MW@SOR2021,SOR,MW,254.0,166.0
AF@GF,AF@GF2021,GF,AF,214.0,206.0
FS@LHP,FS@LHP2021,LHP,FS,213.0,206.0
MW@FS,MW@FS2021,FS,MW,285.0,135.0
SOR@AF,SOR@AF2021,AF,SOR,198.0,222.0
GF@LHP,GF@LHP2021,LHP,GF,263.0,157.0
MW@LHP,MW@LHP2021,LHP,MW,276.0,144.0
FS@AF,FS@AF2021,AF,FS,189.0,226.0
GF@SOR,GF@SOR2021,SOR,GF,228.0,188.0
AF@MW,AF@MW2021,MW,AF,150.0,270.0
FS@GF,FS@GF2021,GF,FS,164.0,256.0
LHP@SOR,LHP@SOR2021,SOR,LHP,205.0,215.0
F@RFD,F@RFD2021,RFD,F,199.0,216.0
CCC@FME,CCC@FME2021,FME,CCC,190.0,216.0
SB@RG,SB@RG2021,RG,SB,162.0,245.0
SB@F,SB@F2021,F,SB,199.0,217.0
RFD@CCC,RFD@CCC2021,CCC,RFD,212.0,200.0
FME@RG,FME@RG2021,RG,FME,261.0,158.0
RG@F,RG@F2021,F,RG,243.0,177.0
CCC@SB,CCC@SB2021,SB,CCC,264.0,156.0
RFD@FME,RFD@FME2021,FME,RFD,186.0,214.0
FME@F,FME@F2021,F,FME,260.0,159.0
CCC@RG,CCC@RG2021,RG,CCC,212.0,208.0
RFD@SB,RFD@SB2021,SB,RFD,260.0,156.0
F@CCC,F@CCC2021,CCC,F,194.0,226.0
RG@RFD,RG@RFD2021,RFD,RG,184.0,230.0
SB@FME,SB@FME2021,FME,SB,155.5,260.5
SOC@BF,SOC@BF2021,BF,SOC,216.0,192.0
HP@SRA,HP@SRA2021,SRA,HP,164.0,250.0
CW@PH,CW@PH2021,PH,CW,184.0,231.0
SOC@CW,SOC@CW2021,CW,SOC,257.5,159.5
BF@HP,BF@HP2021,HP,BF,231.0,185.0
SRA@PH,SRA@PH2021,PH,SRA,250.0,170.0
PH@SOC,PH@SOC2021,SOC,PH,188.5,226.5
CW@HP,CW@HP2021,HP,CW,133.0,278.0
BF@SRA,BF@SRA2021,SRA,BF,228.5,190.5
SOC@SRA,SOC@SRA2021,SRA,SOC,231.5,188.5
PH@HP,PH@HP2021,HP,PH,212.5,207.5
CW@BF,CW@BF2021,BF,CW,145.0,275.0
HP@SOC,HP@SOC2021,SOC,HP,192.0,228.0
PH@BF,PH@BF2021,BF,PH,168.0,252.0
SRA@CW,SRA@CW2021,CW,SRA,249.0,170.0
A@RH,A@RH2021,RH,A,260.0,150.0
THA@HRA,THA@HRA2021,HRA,THA,213.0,189.0
RF@HF,RF@HF2021,HF,RF,192.0,226.0
A@RF,A@RF2021,RF,A,246.0,164.0
THA@RH,THA@RH2021,RH,THA,265.0,144.0
HF@HRA,HF@HRA2021,HRA,HF,219.0,191.0
A@HF,A@HF2021,HF,A,246.0,170.0
RF@THA,RF@THA2021,THA,RF,223.0,193.0
RH@HRA,RH@HRA2021,HRA,RH,182.0,228.0
HRA@A,HRA@A2021,A,HRA,212.0,198.0
HF@THA,HF@THA2021,THA,HF,209.0,211.0
RF@RH,RF@RH2021,RH,RF,247.5,172.5
THA@A,THA@A2021,A,THA,190.0,225.0
RH@HF,RH@HF2021,HF,RH,179.0,240.0
HRA@RF,HRA@RF2021,RF,HRA,247.0,169.0
FH@CT,FH@CT2021,CT,FH,264.0,155.0
SV@MHC,SV@MHC2021,MHC,SV,235.0,179.0
DV@KR,DV@KR2021,KR,DV,170.0,245.0
CT@DV,CT@DV2021,DV,CT,181.5,237.5
MHC@FH,MHC@FH2021,FH,MHC,212.0,205.0
SV@KR,SV@KR2021,KR,SV,155.0,256.0
CT@KR,CT@KR2021,KR,CT,120.0,299.0
MHC@DV,MHC@DV2021,DV,MHC,233.0,186.0
FH@SV,FH@SV2021,SV,FH,208.0,211.0
SV@CT,SV@CT2021,CT,SV,258.0,161.0
KR@MHC,KR@MHC2021,MHC,KR,239.5,180.5
FH@DV,FH@DV2021,DV,FH,194.0,225.0
MHC@CT,MHC@CT2021,CT,MHC,269.0,151.0
KR@FH,KR@FH2021,FH,KR,246.0,174.0
DV@SV,DV@SV2021,SV,DV,200.0,220.0
PT@SS2,PT@SS22021,SS2,PT,176.0,224.0
