seasonID,teamID,year,division,meetsWon,meetsLost,meetsTied,powerRanking,dmPoints,drPoints,dPoints,arPoints,aPoints,tPoints,gtPoints
PH2021,PH,2021,11,3,2,0,30.39,1120.0,188.0,1564,0.0,88,1308.0,2960.0
SRA2021,SRA,2021,11,2,3,0,37.01,964.0,128.0,1224,0.0,62,1092.0,2378.0
BF2021,BF,2021,11,1,4,0,40.61,904.5,110.0,1222,0.0,100,1014.5,2336.5
SOC2021,SOC,2021,11,0,5,0,39.5,920.5,156.0,1376,0.0,92,1076.5,2544.5
RH2021,RH,2021,12,5,0,0,27.66,1240.5,224.0,1696,0.0,158,1464.5,3318.5
RF2021,RF,2021,12,3,2,0,35.19,1084.5,136.0,1452,0.0,158,1220.5,2830.5
HF2021,HF,2021,12,2,3,0,37.95,1019.0,140.0,1420,0.0,28,1159.0,2607.0
THA2021,THA,2021,12,2,3,0,38.66,990.0,146.0,1316,0.0,16,1136.0,2468.0
HRA2021,HRA,2021,12,2,3,0,39.46,981.0,130.0,1112,0.0,120,1111.0,2343.0
A2021,A,2021,12,1,4,0,43.72,886.0,134.0,1150,0.0,60,1020.0,2230.0
CT2021,CT,2021,13,5,0,0,28.69,1327.5,202.0,1698,0.0,132,1529.5,3359.5
FH2021,FH,2021,13,4,1,0,37.42,1049.0,156.0,1348,0.0,40,1205.0,2593.0
DV2021,DV,2021,13,3,2,0,37.52,1073.5,162.0,1354,0.0,202,1235.5,2791.5
MHC2021,MHC,2021,13,2,3,0,40.62,1016.5,150.0,1384,0.0,54,1166.5,2604.5
SV2021,SV,2021,13,1,4,0,42.16,1004.0,146.0,1218,0.0,150,1150.0,2518.0
KR2021,KR,2021,13,0,5,0,52.83,799.5,118.0,1220,0.0,4,917.5,2141.5
FX2021,FX,2021,14,4,1,0,36.7,1160.0,164.0,1588,0.0,124,1324.0,3036.0
PT2021,PT,2021,14,4,1,0,37.95,1089.0,190.0,1326,0.0,204,1279.0,2809.0
RV2021,RV,2021,14,3,2,0,39.93,1074.0,172.0,1474,0.0,294,1246.0,3014.0
W2021,W,2021,14,1,3,1,43.4,1002.0,168.0,1380,0.0,86,1170.0,2636.0
SS22021,SS2,2021,14,1,3,1,45.77,965.0,140.0,1184,0.0,36,1105.0,2325.0
LH2021,LH,2021,14,1,4,0,53.91,867.0,80.0,1226,0.0,228,947.0,2401.0
PL2021,PL,2021,15,5,0,0,30.45,1451.0,212.0,2268,0.0,18,1663.0,3949.0
HH2021,HH,2021,15,4,1,0,43.99,1038.0,140.0,1124,0.0,26,1178.0,2328.0
LB2021,LB,2021,15,3,2,0,43.51,1050.0,170.0,1396,0.0,26,1220.0,2642.0
PAR2021,PAR,2021,15,2,3,0,47.38,991.0,150.0,1318,0.0,36,1141.0,2495.0
H2021,H,2021,15,1,4,0,55.2,873.0,116.0,1072,0.0,88,989.0,2149.0
IC2021,IC,2021,15,0,5,0,62.74,775.0,102.0,882,0.0,88,877.0,1847.0
LP2021,LP,2021,16,5,0,0,36.55,1266.0,212.0,1758,0.0,18,1478.0,3254.0
CSC2021,CSC,2021,16,4,1,0,45.46,1077.0,138.0,1364,0.0,0,1215.0,2579.0
BKS2021,BKS,2021,16,3,2,0,45.28,1068.0,180.0,1568,0.0,68,1248.0,2884.0
LBR2021,LBR,2021,16,2,3,0,45.8,1092.0,170.0,1408,0.0,46,1262.0,2716.0
NF2021,NF,2021,16,1,4,0,60.09,865.0,98.0,924,0.0,0,963.0,1887.0
PV2021,PV,2021,16,0,5,0,72.1,737.0,68.0,864,0.0,0,805.0,1669.0
V2021,V,2021,17,5,0,0,38.54,1279.0,210.0,1842,0.0,0,1489.0,3331.0
BC2021,BC,2021,17,4,1,0,44.38,1179.0,144.0,1290,0.0,0,1323.0,2613.0
NS2021,NS,2021,17,3,2,0,43.5,1241.0,142.0,1542,0.0,0,1383.0,2925.0
S2021,S,2021,17,2,3,0,57.4,945.0,110.0,1158,0.0,40,1055.0,2253.0
PW2021,PW,2021,17,1,4,0,87.18,634.0,56.0,688,0.0,0,690.0,1378.0
EP2021,EP,2021,17,0,5,0,365.96,153.0,6.0,178,0.0,0,159.0,337.0
