ML@L2021,L2021,ML2021,229.0,191.0,McLean at Langley (2021),2021,2021-06-19,Mclean,2,Meters
CP@WC2021,WC2021,CP2021,162.0,256.0,Crosspointe at Wakefield Chapel (2021),2021,2021-06-19,Northern Virginia,2,Meters
HSC@MVP2021,MVP2021,HSC2021,181.0,239.0,Hamlet at Mount Vernon Park (2021),2021,2021-06-19,Northern Virginia,2,Meters
MVP@ML2021,ML2021,MVP2021,280.0,140.0,Mount Vernon Park at McLean (2021),2021,2021-06-26,Northern Virginia,2,Meters
WC@L2021,L2021,WC2021,260.0,160.0,Wakefield Chapel at Langley (2021),2021,2021-06-26,Mclean,2,Meters
HSC@CP2021,CP2021,HSC2021,229.0,191.0,Hamlet at Crosspointe (2021),2021,2021-06-26,Fairfax Station,2,Meters
ML@HSC2021,HSC2021,ML2021,205.0,214.0,McLean at Hamlet (2021),2021,2021-07-03,McLean,2,Meters
MVP@WC2021,WC2021,MVP2021,244.0,176.0,Mount Vernon Park at Wakefield Chapel (2021),2021,2021-07-03,Northern Virginia,2,Meters
CP@L2021,L2021,CP2021,215.0,205.0,Crosspointe at Langley (2021),2021,2021-07-03,McLean,2,Meters
ML@CP2021,CP2021,ML2021,227.0,193.0,McLean at Crosspointe (2021),2021,2021-07-10,Fairfax Station,2,Meters
HSC@WC2021,WC2021,HSC2021,193.0,227.0,Hamlet at Wakefield Chapel (2021),2021,2021-07-10,Northern Virginia,2,Meters
L@MVP2021,MVP2021,L2021,135.0,285.0,Langley at Mount Vernon Park (2021),2021,2021-07-10,Alexandria,2,Meters
WC@ML2021,ML2021,WC2021,244.0,176.0,Wakefield Chapel at McLean (2021),2021,2021-07-17,McLean,2,Meters
L@HSC2021,HSC2021,L2021,195.0,225.0,Langley at Hamlet (2021),2021,2021-07-17,McLean,2,Meters
MVP@CP2021,CP2021,MVP2021,289.0,131.0,Mount Vernon Park at Crosspointe (2021),2021,2021-07-17,Fairfax Station,2,Meters
HV@VW2021,VW2021,HV2021,210.0,210.0,Hunt Valley at Vienna Woods (2021),2021,2021-06-19,Vienna,3,Meters
LRR@FO2021,FO2021,LRR2021,227.5,192.5,Little Rocky Run at Fair Oaks (2021),2021,2021-06-19,Fairfax,3,Meters
VR@HPP2021,HPP2021,VR2021,244.0,176.0,Virginia Run at High Point Pool (2021),2021,2021-06-19,Northern Virginia,3,Meters
VR@HV2021,HV2021,VR2021,239.0,181.0,Virginia Run at Hunt Valley (2021),2021,2021-06-26,Springfield,3,Meters
VW@LRR2021,LRR2021,VW2021,218.0,202.0,Vienna Woods at Little Rocky Run (2021),2021,2021-06-26,Northern Virginia,3,Meters
HPP@FO2021,FO2021,HPP2021,248.0,172.0,High Point Pool at Fair Oaks (2021),2021,2021-06-26,Fairfax,3,Meters
HPP@HV2021,HV2021,HPP2021,203.0,217.0,High Point Pool at Hunt Valley (2021),2021,2021-07-03,Springfield,3,Meters
FO@VW2021,VW2021,FO2021,172.0,248.0,Fair Oaks at Vienna Woods (2021),2021,2021-07-03,Vienna,3,Meters
LRR@VR2021,VR2021,LRR2021,193.0,227.0,Little Rocky Run at Virginia Run (2021),2021,2021-07-03,Northern Virginia,3,Meters
HV@FO2021,FO2021,HV2021,240.0,170.0,Hunt Valley at Fair Oaks (2021),2021,2021-07-10,Fairfax,3,Meters
HPP@LRR2021,LRR2021,HPP2021,211.0,209.0,High Point Pool at Little Rocky Run (2021),2021,2021-07-10,Northern Virginia,3,Meters
VR@VW2021,VW2021,VR2021,241.0,178.0,Virginia Run at Vienna Woods (2021),2021,2021-07-10,Vienna,3,Meters
LRR@HV2021,HV2021,LRR2021,197.0,223.0,Little Rocky Run at Hunt Valley (2021),2021,2021-07-17,Springfield,3,Meters
VW@HPP2021,HPP2021,VW2021,241.0,179.0,Vienna Woods at High Point Pool (2021),2021,2021-07-17,Northern Virginia,3,Meters
FO@VR2021,VR2021,FO2021,158.0,262.0,Fair Oaks at Virginia Run (2021),2021,2021-07-17,Northern Virginia,3,Meters
VAC@KG2021,KG2021,VAC2021,220.0,195.0,Vienna Aquatic at Kent Gardens (2021),2021,2021-06-19,McLean,4,Yards
OAK@SR2021,SR2021,OAK2021,108.0,301.0,Oakton at Sideburn Run (2021),2021,2021-06-19,Northern Virginia,4,Meters
OH@CH2021,CH2021,OH2021,233.0,187.0,Orange Hunt at Cardinal Hill (2021),2021,2021-06-19,Northern Virginia,4,Meters
VAC@OH2021,OH2021,VAC2021,192.0,219.0,Vienna Aquatic at Orange Hunt (2021),2021,2021-06-26,Springfield,4,Meters
OAK@KG2021,KG2021,OAK2021,214.0,206.0,Oakton at Kent Gardens (2021),2021,2021-06-26,McLean,4,Yards
CH@SR2021,SR2021,CH2021,145.0,273.0,Cardinal Hill at Sideburn Run (2021),2021,2021-06-26,Fairfax,4,Meters
CH@VAC2021,VAC2021,CH2021,213.5,205.5,Cardinal Hill at Vienna Aquatic (2021),2021,2021-07-03,Northern Virginia,4,Meters
OH@OAK2021,OAK2021,OH2021,239.0,181.0,Orange Hunt at Oakton (2021),2021,2021-07-03,Oakton,4,Meters
SR@KG2021,KG2021,SR2021,281.0,137.0,Sideburn Run at Kent Gardens (2021),2021,2021-07-03,McLean,4,Yards
VAC@SR2021,SR2021,VAC2021,136.0,280.0,Vienna Aquatic at Sideburn Run (2021),2021,2021-07-10,Fairfax,4,Meters
CH@OAK2021,OAK2021,CH2021,229.5,190.5,Cardinal Hill at Oakton (2021),2021,2021-07-10,Northern Virginia,4,Meters
