resultID,meetEventID,swimmerID,time,place,points,powerIndex
Highlands_Swim(138.0)_at_Chesterbrook(282.0)_2021_7_Highlands_Swim(138.0)_at_Chesterbrook(282.0)_2021_1,Highlands_Swim(138.0)_at_Chesterbrook(282.0)_2021_7_Highlands_Swim(138.0)_at_Chesterbrook(282.0)_2021,25.64,1,5.0,823.2
Highlands_Swim(138.0)_at_Chesterbrook(282.0)_2021_7_Highlands_Swim(138.0)_at_Chesterbrook(282.0)_2021_2,Highlands_Swim(138.0)_at_Chesterbrook(282.0)_2021_7_Highlands_Swim(138.0)_at_Chesterbrook(282.0)_2021,25.97,2,3.0,792.22
Highlands_Swim(138.0)_at_Chesterbrook(282.0)_2021_7_Highlands_Swim(138.0)_at_Chesterbrook(282.0)_2021_3,Highlands_Swim(138.0)_at_Chesterbrook(282.0)_2021_7_Highlands_Swim(138.0)_at_Chesterbrook(282.0)_2021,27.94,3,1.0,636.18
Highlands_Swim(138.0)_at_Chesterbrook(282.0)_2021_7_Highlands_Swim(138.0)_at_Chesterbrook(282.0)_2021_4,Highlands_Swim(138.0)_at_Chesterbrook(282.0)_2021_7_Highlands_Swim(138.0)_at_Chesterbrook(282.0)_2021,28.09,4,0.0,626.05
Highlands_Swim(138.0)_at_Chesterbrook(282.0)_2021_7_Highlands_Swim(138.0)_at_Chesterbrook(282.0)_2021_5,Highlands_Swim(138.0)_at_Chesterbrook(282.0)_2021_7_Highlands_Swim(138.0)_at_Chesterbrook(282.0)_2021,28.27,5,0.0,614.16
Highlands_Swim(138.0)_at_Chesterbrook(282.0)_2021_7_Highlands_Swim(138.0)_at_Chesterbrook(282.0)_2021_6,Highlands_Swim(138.0)_at_Chesterbrook(282.0)_2021_7_Highlands_Swim(138.0)_at_Chesterbrook(282.0)_2021,30.03,6,0.0,512.38
Highlands_Swim(138.0)_at_Chesterbrook(282.0)_2021_9_Highlands_Swim(138.0)_at_Chesterbrook(282.0)_2021_1,Highlands_Swim(138.0)_at_Chesterbrook(282.0)_2021_9_Highlands_Swim(138.0)_at_Chesterbrook(282.0)_2021,26.31,1,5.0,621.28
Highlands_Swim(138.0)_at_Chesterbrook(282.0)_2021_9_Highlands_Swim(138.0)_at_Chesterbrook(282.0)_2021_2,Highlands_Swim(138.0)_at_Chesterbrook(282.0)_2021_9_Highlands_Swim(138.0)_at_Chesterbrook(282.0)_2021,26.64,2,3.0,598.48
Highlands_Swim(138.0)_at_Chesterbrook(282.0)_2021_9_Highlands_Swim(138.0)_at_Chesterbrook(282.0)_2021_3,Highlands_Swim(138.0)_at_Chesterbrook(282.0)_2021_9_Highlands_Swim(138.0)_at_Chesterbrook(282.0)_2021,26.69,3,1.0,595.12
Highlands_Swim(138.0)_at_Chesterbrook(282.0)_2021_9_Highlands_Swim(138.0)_at_Chesterbrook(282.0)_2021_4,Highlands_Swim(138.0)_at_Chesterbrook(282.0)_2021_9_Highlands_Swim(138.0)_at_Chesterbrook(282.0)_2021,26.97,4,0.0,576.77
