WG2021,Walden Glen,WG,2021,"6126 Harmon Place Springfield, VA 22152",6,1,4,0,24.51,869.5,118.0,1112,0.0,72,987.5,2171.5
FCE2021,Fairfax Club Estates,FCE,2021,"5601 Snowy Owl Dr.Fairfax, Va 22032",6,0,5,0,24.27,925.0,126.0,1234,0.0,124,1051.0,2409.0
PC2021,Pinecrest,PC,2021,"12515 Pinecrest Road Herndon, VA 20171",7,5,0,0,17.64,1147.5,192.0,1538,0.0,116,1339.5,2993.5
R2021,Ravensworth Farm,R,2021,"5210 Inverchapel Road Springfield, VA 22151",7,3,2,0,21.31,1062.0,162.0,1412,0.0,68,1224.0,2704.0
WW2021,Waynewood,WW,2021,"1027 Dalebrook Drive Alexandria, VA 22308",7,3,2,0,21.36,1097.5,123.0,1556,0.0,214,1220.5,2990.5
LE2021,Lakevale Estates,LE,2021,"2554 Oak Valley Drive Vienna, VA 22180",7,3,2,0,21.98,1059.5,123.0,1160,0.0,200,1182.5,2542.5
SHB2021,Sleepy Hollow B & R,SHB,2021,"3516 Sleepy Hollow Road Falls Church, VA 22044",7,1,4,0,24.1,1017.5,158.0,1336,0.0,142,1175.5,2653.5
VA2021,Villa Aquatic,VA,2021,"4299 Andes Drive Fairfax, VA 22030",7,0,5,0,27.44,889.0,164.0,1234,0.0,28,1053.0,2315.0
DL2021,Dunn Loring,DL,2021,"8326 Cottage Street Vienna, VA 22180",8,5,0,0,18.73,1250.0,192.0,1504,0.0,44,1442.0,2990.0
DH2021,Dominion Hills,DH,2021,"6000 Wilson Boulevard Arlington, VA 22205",8,4,1,0,20.4,1204.5,188.0,1608,0.0,96,1392.5,3096.5
G2021,Greenbriar,G,2021,"13001 Point Pleasant Drive Fairfax, VA 22033",8,3,2,0,23.75,1058.0,184.0,1542,0.0,104,1242.0,2888.0
HM2021,Hollin Meadows,HM,2021,"2500 Woodlawn Trail Alexandria, VA 22306",8,2,3,0,27.09,959.0,162.0,1214,0.0,104,1121.0,2439.0
SS2021,Sully Station,SS,2021,"5101 Sequoia Farms Drive Centreville, VA 20120",8,1,4,0,26.27,1060.5,152.0,1310,0.0,226,1212.5,2748.5
FMW2021,Fox Mill Woods,FMW,2021,"2634 A Black Fir Court Reston, VA 20191",8,0,5,0,39.32,709.0,78.0,1040,0.0,42,787.0,1869.0
LHP2021,Little Hunting Park,LHP,2021,"7000 Canterbury Lane Alexandria, VA 22307",9,5,0,0,21.7,1236.0,164.0,1460,0.0,124,1400.0,2984.0
SOR2021,South Run,SOR,2021,"9908 South Park Circle Fairfax Station, VA 22039",9,4,1,0,24.37,1122.0,178.0,1522,0.0,228,1300.0,3050.0
FS2021,Fairfax Station,FS,2021,"6203 Old Arrington Dr.Fairfax Station, VA 22039",9,3,2,0,24.52,1175.0,174.0,1438,0.0,222,1349.0,3009.0
AF2021,Arlington Forest,AF,2021,"5401 North Carlin Springs Road Arlington, VA 22203",9,1,4,0,30.24,1014.0,144.0,1432,0.0,78,1158.0,2668.0
GF2021,Great Falls,GF,2021,"761 Walker Road Great Falls, VA 22066",9,1,4,0,31.77,930.0,164.0,1236,0.0,96,1094.0,2426.0
MW2021,Mosby Woods,MW,2021,"3136 Fair Woods Parkway (previously Plantation)Fairfax, VA 22030",9,1,4,0,37.21,803.0,112.0,1160,0.0,78,915.0,2153.0
SB2021,Springboard,SB,2021,Address not found on the team's page.,10,5,0,0,23.57,1246.5,186.0,1714,0.0,126,1432.5,3272.5
F2021,Fairfax,F,2021,"4200 Roberts Road Fairfax, VA 22032",10,4,1,0,26.69,1144.0,170.0,1574,0.0,252,1314.0,3140.0
RG2021,Riverside Gardens,RG,2021,"8633 Buckboard Drive Alexandria, VA 22308",10,3,2,0,29.95,1042.0,166.0,1312,0.0,54,1208.0,2574.0
CCC2021,Camelot,CCC,2021,"3604 Balin Court Annandale, VA 22003",10,2,3,0,33.92,986.0,106.0,1370,0.0,204,1092.0,2666.0
RFD2021,Rutherford,RFD,2021,"4609 Marley Rd.Fairfax, VA 22032",10,1,4,0,33.74,953.0,182.0,1024,0.0,186,1135.0,2345.0
FME2021,Fox Mill Estates,FME,2021,"2720 Viking Drive Herndon, VA 20171",10,0,5,0,39.64,848.5,126.0,1132,0.0,44,974.5,2150.5
CW2021,Canterbury Woods,CW,2021,"5101 Southampton Dr Annandale, VA 22003",11,5,0,0,24.62,1290.5,218.0,1386,0.0,150,1508.5,3044.5
HP2021,Highland Park,HP,2021,"6406 Telegraph Road Alexandria, VA 22310",11,4,1,0,31.73,1054.5,154.0,1394,0.0,80,1208.5,2682.5
PH2021,Poplar Heights,PH,2021,"2463 Buckelew Falls Church, VA",11,3,2,0,30.39,1120.0,188.0,1564,0.0,88,1308.0,2960.0
SRA2021,Stratford,SRA,2021,"2300 Brintizer way Alexandria, VA 22308",11,2,3,0,37.01,964.0,128.0,1224,0.0,62,1092.0,2378.0
BF2021,Brookfield,BF,2021,"13615 Pennsboro Drive Chantilly, VA 20151",11,1,4,0,40.61,904.5,110.0,1222,0.0,100,1014.5,2336.5
SOC2021,Somerset-Olde Creek,SOC,2021,"9705 Laurel Street Fairfax, VA 22032",11,0,5,0,39.5,920.5,156.0,1376,0.0,92,1076.5,2544.5
RH2021,Rolling Hills,RH,2021,"8301 Carrleigh Parkway Springfield, VA 22152",12,5,0,0,27.66,1240.5,224.0,1696,0.0,158,1464.5,3318.5
RF2021,Rolling Forest,RF,2021,"7011 Flax Street Springfield, VA 22152",12,3,2,0,35.19,1084.5,136.0,1452,0.0,158,1220.5,2830.5
HF2021,Hayfield Farm,HF,2021,"7820 Hayfield Road Alexandria, VA 22315",12,2,3,0,37.95,1019.0,140.0,1420,0.0,28,1159.0,2607.0
THA2021,Truro,THA,2021,"4146 Elizabeth Lane Annandale, VA 22003",12,2,3,0,38.66,990.0,146.0,1316,0.0,16,1136.0,2468.0
HRA2021,Holmes Run Acres,HRA,2021,"3451 Gallows Road Falls Church, VA 22042",12,2,3,0,39.46,981.0,130.0,1112,0.0,120,1111.0,2343.0
A2021,Annandale,A,2021,"7530 Little River Turnpike Annandale, VA 22003",12,1,4,0,43.72,886.0,134.0,1150,0.0,60,1020.0,2230.0
CT2021,Cottontail,CT,2021,"7000 Cottontail Court Springfield, VA 22153",13,5,0,0,28.69,1327.5,202.0,1698,0.0,132,1529.5,3359.5
FH2021,Forest Hollow,FH,2021,"4330 Old Columbia Pike Annandale, VA 22003",13,4,1,0,37.42,1049.0,156.0,1348,0.0,40,1205.0,2593.0
DV2021,Daventry,DV,2021,"7721 Painted Daisy Drive Springfield, va 22152",13,3,2,0,37.52,1073.5,162.0,1354,0.0,202,1235.5,2791.5
MHC2021,Mansion House,MHC,2021,"9321 Old Mount Vernon Rd Alexandria, VA 22309",13,2,3,0,40.62,1016.5,150.0,1384,0.0,54,1166.5,2604.5
