CP@WC202149,CP@WC2021,49,Boys,15-18,200,Meters,Medley,False
CP@WC20212,CP@WC2021,2,Girls,8&U,25,Meters,Free,True
CP@WC20214,CP@WC2021,4,Girls,9-10,50,Meters,Free,True
CP@WC20216,CP@WC2021,6,Girls,11-12,50,Meters,Free,True
CP@WC20218,CP@WC2021,8,Girls,13-14,50,Meters,Free,True
CP@WC202110,CP@WC2021,10,Girls,15-18,50,Meters,Free,True
CP@WC202112,CP@WC2021,12,Girls,8&U,25,Meters,Back,True
CP@WC202114,CP@WC2021,14,Girls,9-10,50,Meters,Back,True
CP@WC202116,CP@WC2021,16,Girls,11-12,50,Meters,Back,True
CP@WC202118,CP@WC2021,18,Girls,13-14,50,Meters,Back,True
CP@WC202120,CP@WC2021,20,Girls,15-18,50,Meters,Back,True
CP@WC202122,CP@WC2021,22,Girls,8&U,25,Meters,Breast,True
CP@WC202124,CP@WC2021,24,Girls,9-10,50,Meters,Breast,True
CP@WC202126,CP@WC2021,26,Girls,11-12,50,Meters,Breast,True
CP@WC202128,CP@WC2021,28,Girls,13-14,50,Meters,Breast,True
CP@WC202130,CP@WC2021,30,Girls,15-18,50,Meters,Breast,True
CP@WC202132,CP@WC2021,32,Girls,8&U,25,Meters,Fly,True
CP@WC202134,CP@WC2021,34,Girls,9-10,25,Meters,Fly,True
CP@WC202136,CP@WC2021,36,Girls,11-12,50,Meters,Fly,True
CP@WC202138,CP@WC2021,38,Girls,13-14,50,Meters,Fly,True
CP@WC202140,CP@WC2021,40,Girls,15-18,50,Meters,Fly,True
CP@WC202142,CP@WC2021,42,Girls,8&U,100,Meters,Free,False
CP@WC202152,CP@WC2021,52,Girls,Age,200,Meters,Free,False
CP@WC202144,CP@WC2021,44,Girls,9-10,100,Meters,Medley,False
CP@WC202146,CP@WC2021,46,Girls,11-12,100,Meters,Medley,False
CP@WC202148,CP@WC2021,48,Girls,13-14,100,Meters,Medley,False
CP@WC202150,CP@WC2021,50,Girls,15-18,200,Meters,Medley,False
HSC@MVP20211,HSC@MVP2021,1,Boys,8&U,25,Meters,Free,True
HSC@MVP20213,HSC@MVP2021,3,Boys,9-10,50,Meters,Free,True
HSC@MVP20215,HSC@MVP2021,5,Boys,11-12,50,Meters,Free,True
HSC@MVP20217,HSC@MVP2021,7,Boys,13-14,50,Meters,Free,True
HSC@MVP20219,HSC@MVP2021,9,Boys,15-18,50,Meters,Free,True
HSC@MVP202111,HSC@MVP2021,11,Boys,8&U,25,Meters,Back,True
HSC@MVP202113,HSC@MVP2021,13,Boys,9-10,50,Meters,Back,True
HSC@MVP202115,HSC@MVP2021,15,Boys,11-12,50,Meters,Back,True
HSC@MVP202117,HSC@MVP2021,17,Boys,13-14,50,Meters,Back,True
