champsMeetID,meetID,meet_type
Divisional_Relays_2021_Champs,Divisional_Relays_2021,Divisional Relay
Divisionals_2021_Champs,Divisionals_2021,Divisionals
All_Stars_2021_Champs,All_Stars_2021,All Stars
